"X.1","X","addr_state","YearBefore","loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","dti","earliest_cr_line","open_acc","pub_rec","total_acc","initial_list_status","application_type","GeoName","Compensation.of.employees","Gross.operating.surplus","Per.capita.real.GDP.by.state","Quantity.indexes.for.real.GDP.by.state","Real.GDP.by.state","Subsidies","Taxes.on.production.and.imports","regions"
202383,202416,"DE",2011,20000," 36 months",6.62,614.08,"A","MORTGAGE",0.6974274,"Not Verified","2012-12-01","Defaulted","debt_consolidation",13.93,"1999-03-01",12,0,40,"w","INDIVIDUAL","Delaware",217,257,432,34,373,141,249,"South"
683418,683520,"PA",2011,12000," 36 months",12.12,399.26,"B","MORTGAGE",0.6779196,"Source Verified","2012-05-01","Defaulted","credit_card",21.37,"2000-05-01",11,0,22,"f","INDIVIDUAL","Pennsylvania",277,189,261,161,379,152,299,"Northeast"
49650,49664,"CA",2011,23675," 60 months",23.83,678.75,"F","MORTGAGE",0.69897,"Verified","2012-10-01","Defaulted","debt_consolidation",7.85,"1991-05-01",24,0,44,"f","INDIVIDUAL","California",14,401,353,96,114,375,59,"West"
83228,83250,"CA",2013,6425," 36 months",20.2,239.44,"E","RENT",0.6586125,"Verified","2014-05-01","Defaulted","debt_consolidation",18.67,"1996-09-01",7,0,15,"f","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
171408,171440,"CO",2011,10000," 36 months",9.76,321.55,"B","RENT",0.666841,"Source Verified","2012-04-01","Defaulted","debt_consolidation",21.95,"1983-10-01",19,0,32,"f","INDIVIDUAL","Colorado",59,11,307,72,156,385,113,"West"
521716,521801,"NJ",2013,10000," 36 months",15.61,349.65,"C","RENT",0.6639631,"Source Verified","2014-05-01","Defaulted","credit_card",10.94,"2004-07-01",11,0,14,"f","INDIVIDUAL","New Jersey",242,159,396,110,327,121,328,"Northeast"
612107,612200,"NY",2014,30000," 36 months",13.66,1020.39,"C","OWN",0.7225314,"Source Verified","2015-02-01","Defaulted","credit_card",7.15,"1997-08-01",7,0,8,"f","INDIVIDUAL","New York",406,333,428,277,44,285,454,"Northeast"
384967,385025,"MA",2013,27300," 60 months",24.99,801.14,"F","MORTGAGE",0.6863978,"Source Verified","2014-07-01","Defaulted","debt_consolidation",11.65,"2009-11-01",6,0,7,"w","INDIVIDUAL","Massachusetts",204,96,416,256,285,119,166,"Northeast"
359146,359202,"KY",2013,10800," 60 months",14.49,254.05,"C","OWN",0.6853026,"Source Verified","2014-06-01","Defaulted","debt_consolidation",20.59,"2004-02-01",10,0,27,"w","INDIVIDUAL","Kentucky",456,372,90,268,92,276,56,"South"
176924,176956,"CO",2013,13900," 36 months",15.61,486.02,"D","RENT",0.6574448,"Not Verified","2014-05-01","Defaulted","debt_consolidation",25.86,"1991-08-01",15,0,35,"w","INDIVIDUAL","Colorado",93,30,323,260,186,383,103,"West"
457928,458004,"MO",2011,16000," 60 months",21,432.86,"E","RENT",0.6746353,"Verified","2012-09-01","Defaulted","credit_card",32.88,"1996-11-01",19,0,51,"f","INDIVIDUAL","Missouri",64,449,138,395,149,11,83,"Midwest"
813263,813376,"UT",2011,7525," 36 months",7.62,234.49,"A","MORTGAGE",0.6653953,"Source Verified","2012-10-01","Defaulted","debt_consolidation",13.79,"1994-12-01",12,0,27,"f","INDIVIDUAL","Utah",376,328,147,179,27,214,390,"West"
87803,87825,"CA",2013,7200," 36 months",20.2,268.32,"E","RENT",0.6758116,"Source Verified","2014-08-01","Defaulted","home_improvement",14.66,"2002-08-01",8,0,9,"f","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
166128,166159,"CA",2014,8000," 36 months",9.49,256.23,"B","RENT",0.6659062,"Source Verified","2015-01-01","Defaulted","debt_consolidation",8.26,"1999-10-01",4,0,14,"w","INDIVIDUAL","California",24,450,393,309,129,361,74,"West"
580411,580502,"NY",2013,17975," 60 months",17.57,452.26,"D","OWN",0.6677529,"Verified","2014-09-01","Defaulted","credit_card",32.19,"2002-12-01",21,0,22,"w","INDIVIDUAL","New York",395,331,424,255,41,283,10,"Northeast"
445977,446053,"MN",2013,35000," 60 months",17.57,880.61,"D","MORTGAGE",0.7025505,"Verified","2014-06-01","Defaulted","debt_consolidation",15.59,"2000-01-01",8,0,23,"w","INDIVIDUAL","Minnesota",117,29,352,290,209,92,160,"Midwest"
665129,665225,"OK",2013,13475," 60 months",22.9,379.1,"E","OWN",0.6547291,"Verified","2014-01-01","Defaulted","credit_card",26.21,"2001-07-01",14,1,21,"w","INDIVIDUAL","Oklahoma",433,403,177,320,84,273,38,"South"
446091,446167,"MN",2013,14975," 60 months",20.99,405.04,"E","OWN",0.6805523,"Verified","2014-12-01","Defaulted","debt_consolidation",30.37,"1993-09-01",9,0,22,"w","INDIVIDUAL","Minnesota",117,29,352,290,209,92,160,"Midwest"
129030,129060,"CA",2014,16000," 60 months",21.99,441.82,"F","RENT",0.6629523,"Source Verified","2015-06-01","Defaulted","debt_consolidation",18.03,"2012-04-01",4,0,4,"f","INDIVIDUAL","California",24,450,393,309,129,361,74,"West"
748143,748250,"TX",2011,26200," 60 months",24.89,767.32,"G","MORTGAGE",0.6927957,"Source Verified","2012-11-01","Defaulted","Others",17.25,"2000-08-01",20,0,32,"f","INDIVIDUAL","Texas",372,355,286,234,43,203,3,"South"
241095,241136,"FL",2014,14400," 60 months",17.86,364.57,"D","RENT",0.6731875,"Source Verified","2015-01-01","Defaulted","debt_consolidation",14.85,"2006-09-01",8,0,9,"w","INDIVIDUAL","Florida",329,259,92,225,425,153,392,"South"
851119,851239,"WA",2012,35000," 36 months",12.85,1176.77,"B","RENT",0.7205952,"Verified","2013-12-01","Defaulted","Others",7.59,"2006-06-01",11,0,18,"w","INDIVIDUAL","Washington",147,80,375,215,248,95,237,"West"
366036,366092,"LA",2011,8600," 36 months",15.31,299.43,"C","MORTGAGE",0.7307993,"Source Verified","2012-09-01","Defaulted","home_improvement",11.75,"1997-02-01",14,0,32,"f","INDIVIDUAL","Louisiana",13,33,237,383,125,309,80,"South"
637434,637527,"OH",2012,9000," 36 months",14.3,308.92,"C","OWN",0.6743352,"Verified","2013-11-01","Defaulted","debt_consolidation",23.48,"2000-12-01",6,0,21,"w","INDIVIDUAL","Ohio",250,174,216,273,350,106,267,"Midwest"
153781,153812,"CA",2014,15000," 36 months",16.99,534.72,"D","MORTGAGE",0.6792599,"Verified","2015-03-01","Defaulted","debt_consolidation",35.66,"1983-02-01",20,0,37,"f","INDIVIDUAL","California",24,450,393,309,129,361,74,"West"
130696,130726,"CA",2014,12875," 60 months",18.84,332.86,"E","OWN",0.6659062,"Source Verified","2015-04-01","Defaulted","credit_card",39.66,"1998-01-01",12,0,23,"w","INDIVIDUAL","California",24,450,393,309,129,361,74,"West"
578103,578194,"NY",2012,17000," 36 months",13.05,573.21,"B","RENT",0.6720027,"Not Verified","2013-08-01","Defaulted","debt_consolidation",11.06,"2005-06-01",5,0,8,"f","INDIVIDUAL","New York",389,325,426,254,40,284,455,"Northeast"
385253,385311,"MA",2013,19125," 36 months",16.29,675.12,"D","OWN",0.6744728,"Not Verified","2014-05-01","Defaulted","debt_consolidation",19.01,"2000-02-01",9,0,28,"w","INDIVIDUAL","Massachusetts",204,96,416,256,285,119,166,"Northeast"
279442,279488,"GA",2013,8000," 36 months",13.98,273.35,"C","RENT",0.6574448,"Source Verified","2014-06-01","Defaulted","debt_consolidation",19.27,"2004-06-01",7,2,12,"f","INDIVIDUAL","Georgia",196,130,158,183,300,54,207,"South"
855803,855923,"WA",2013,4000," 36 months",19.24,147.11,"E","MORTGAGE",0.6853026,"Not Verified","2014-12-01","Defaulted","home_improvement",27.04,"2001-09-01",11,0,31,"f","INDIVIDUAL","Washington",154,90,380,270,252,88,244,"West"
831661,831779,"VA",2013,14900," 60 months",20.2,396.42,"E","RENT",0.666841,"Source Verified","2014-06-01","Defaulted","debt_consolidation",27.8,"2002-12-01",10,0,21,"w","INDIVIDUAL","Virginia",207,95,329,144,299,24,216,"South"
481124,481205,"NC",2012,18775," 60 months",16.99,466.51,"D","MORTGAGE",0.6853026,"Verified","2013-12-01","Defaulted","debt_consolidation",2.23,"1999-09-01",7,1,22,"f","INDIVIDUAL","North Carolina",183,121,162,69,288,70,235,"South"
831663,831781,"VA",2013,26500," 60 months",18.25,676.54,"D","MORTGAGE",0.6853026,"Verified","2014-01-01","Defaulted","debt_consolidation",18.5,"1999-01-01",13,0,39,"f","INDIVIDUAL","Virginia",207,95,329,144,299,24,216,"South"
551320,551406,"NV",2013,15400," 36 months",7.62,479.89,"A","RENT",0.6879801,"Verified","2014-03-01","Defaulted","debt_consolidation",16.56,"1995-09-01",16,0,55,"w","INDIVIDUAL","Nevada",383,320,174,399,33,171,25,"West"
662794,662888,"OK",2011,6625," 36 months",18.49,241.15,"D","MORTGAGE",0.6927957,"Not Verified","2012-08-01","Defaulted","debt_consolidation",10.73,"2002-04-01",10,0,18,"f","INDIVIDUAL","Oklahoma",422,377,114,206,72,258,18,"South"
664003,664098,"OK",2012,10000," 36 months",11.55,330,"B","MORTGAGE",0.683594,"Not Verified","2013-08-01","Defaulted","credit_card",22.19,"1987-01-01",13,0,37,"w","INDIVIDUAL","Oklahoma",426,387,144,304,75,275,33,"South"
681323,681425,"PA",2008,12000," 36 months",11.14,393.65,"B","RENT",0.6677529,"Not Verified","2009-12-01","Defaulted","debt_consolidation",23.2,"1999-05-01",4,0,17,"f","INDIVIDUAL","Pennsylvania",269,170,260,108,378,124,286,"Northeast"
79702,79724,"CA",2013,10000," 36 months",11.99,332.1,"B","RENT",0.6509989,"Not Verified","2014-04-01","Defaulted","credit_card",24.52,"2007-10-01",16,0,17,"f","INDIVIDUAL","California",20,426,378,269,123,359,66,"West"
221990,222029,"FL",2013,10000," 60 months",14.99,237.85,"C","RENT",0.6509989,"Verified","2014-06-01","Defaulted","credit_card",34.36,"1985-05-01",9,1,41,"w","INDIVIDUAL","Florida",324,248,78,107,423,155,389,"South"
576635,576726,"NY",2012,22250," 60 months",15.31,532.96,"C","RENT",0.6720027,"Verified","2013-05-01","Defaulted","debt_consolidation",23.06,"2001-10-01",14,0,37,"w","INDIVIDUAL","New York",389,325,426,254,40,284,455,"Northeast"
565020,565109,"NY",2011,7000," 36 months",12.12,232.91,"B","RENT",0.6574448,"Not Verified","2012-06-01","Defaulted","debt_consolidation",7.54,"2007-06-01",7,0,8,"f","INDIVIDUAL","New York",382,306,413,156,30,288,450,"Northeast"
