"x_coord","y_coord","addr_state","loan_amnt","term","int_rate","installment","grade","home_ownership","annual_inc","verification_status","loan_status","purpose","dti","open_acc","pub_rec","total_acc"
-31.6803928709872,4.19589593160794,"WI",18000," 60 months",23.28,510.33,"F","MORTGAGE",0.6639631,"Verified","Defaulted","debt_consolidation",13.67,8,0,27
-20.3400425658633,17.0592731532901,"NV",15000," 60 months",17.57,377.41,"D","RENT",0.6629523,"Verified","Defaulted","debt_consolidation",14.55,9,0,16
-2.51065650580254,-12.9210457208109,"NJ",9125," 36 months",19.97,338.98,"D","MORTGAGE",0.6727968,"Source Verified","Defaulted","debt_consolidation",10.87,11,0,15
37.5609919946424,6.98654850736153,"CA",2700," 36 months",11.67,89.26,"B","RENT",0.6949773,"Not Verified","Defaulted","debt_consolidation",6.44,4,0,7
-24.4579116622469,4.86448990866974,"VA",5400," 60 months",14.09,125.91,"B","OWN",0.6847421,"Verified","Defaulted","Others",23.46,7,0,40
22.3196207006727,-21.2382557400848,"TX",2000," 36 months",12.61,67.02,"C","RENT",0.6549956,"Source Verified","Defaulted","credit_card",4.55,8,0,26
-5.67389540058511,11.1298502843636,"KY",8575," 36 months",15.8,300.63,"C","MORTGAGE",0.6754481,"Verified","Defaulted","debt_consolidation",34.41,15,0,36
10.4701772987141,-17.7936645719516,"PA",6400," 36 months",19.22,235.32,"D","OWN",0.6720027,"Source Verified","Defaulted","Others",24.69,10,1,24
-1.29140117288263,-12.0468981693312,"OH",12000," 36 months",16.29,423.61,"C","MORTGAGE",0.6879801,"Source Verified","Defaulted","debt_consolidation",13.39,11,1,24
-32.8215882132351,-0.0157790504412142,"IN",30000," 60 months",22.99,845.55,"F","MORTGAGE",0.693243,"Verified","Defaulted","debt_consolidation",9.03,13,0,37
31.7399219347736,-3.39468018318622,"CA",18000," 36 months",15.22,625.92,"C","RENT",0.7025505,"Not Verified","Defaulted","major_purchase",7.82,19,0,45
-5.52349376905756,11.7006636940821,"TX",7700," 36 months",13.68,261.98,"C","MORTGAGE",0.6632533,"Verified","Defaulted","debt_consolidation",28.14,10,1,11
-4.58093105927714,8.57684918643572,"PA",15000," 36 months",13.67,510.27,"B","MORTGAGE",0.69897,"Verified","Defaulted","debt_consolidation",16.27,12,0,30
-11.2464547994295,31.2812713470053,"CA",26500," 36 months",14.3,909.58,"C","RENT",0.6792599,"Verified","Defaulted","debt_consolidation",13.38,7,0,24
-9.76484173610795,34.9122109086849,"NJ",15000," 36 months",13.66,510.2,"C","RENT",0.6811816,"Verified","Defaulted","debt_consolidation",34.22,20,0,41
-0.234888904174334,-9.0595006579487,"MI",20500," 36 months",14.3,703.64,"C","MORTGAGE",0.7140019,"Source Verified","Defaulted","debt_consolidation",11.19,11,1,24
29.6006468798948,-9.49695752523975,"MN",8300," 36 months",15.31,288.99,"C","RENT",0.666841,"Not Verified","Defaulted","credit_card",25.8,12,0,21
-4.26026195364304,10.763166934758,"CA",11500," 36 months",13.11,388.1,"B","MORTGAGE",0.6574448,"Verified","Defaulted","debt_consolidation",27.81,11,0,19
-4.44964298325135,31.1287398400705,"FL",8250," 36 months",20.49,308.67,"E","RENT",0.6677529,"Verified","Defaulted","small_business",26.64,18,0,34
-23.7729130161859,-4.71284438650152,"MD",20000," 60 months",12.99,454.96,"B","MORTGAGE",0.6978195,"Verified","Defaulted","credit_card",10.66,9,0,34
-22.5657998821906,20.8018521993066,"CA",29100," 60 months",22.78,816.67,"F","RENT",0.6792599,"Verified","Defaulted","debt_consolidation",30.4,19,0,42
35.2786622594824,-5.47179635814424,"NY",20000," 36 months",9.64,642.02,"B","RENT",0.6974274,"Not Verified","Defaulted","small_business",2.86,4,0,8
38.6918314592969,5.0815856577349,"OH",6250," 36 months",13.11,210.92,"B","RENT",0.6649473,"Not Verified","Defaulted","debt_consolidation",19.26,5,1,14
4.86755285971676,16.0220453983711,"CA",10000," 36 months",18.85,365.81,"D","MORTGAGE",0.6758116,"Verified","Defaulted","Others",10.08,18,0,25
-22.5972247443444,17.3806191064546,"OR",14675," 60 months",22.9,412.86,"E","RENT",0.666841,"Verified","Defaulted","debt_consolidation",20.87,10,0,20
-19.1307963164587,-14.3517588861395,"TX",12000," 60 months",10.99,260.85,"B","MORTGAGE",0.7081837,"Source Verified","Defaulted","credit_card",24.78,11,0,21
19.8874763654028,24.8562030376938,"FL",14000," 36 months",7.69,436.71,"A","MORTGAGE",0.6792599,"Not Verified","Defaulted","debt_consolidation",24.5,9,0,16
-37.0500035517643,7.59966549349496,"FL",12800," 60 months",15.22,306,"C","MORTGAGE",0.666841,"Verified","Defaulted","debt_consolidation",24.35,8,0,12
7.78947356054643,-29.8520958742388,"TX",8950," 36 months",17.86,322.94,"D","RENT",0.6509989,"Source Verified","Defaulted","debt_consolidation",34.84,8,0,12
1.0228361184514,13.2498060959002,"VA",7000," 36 months",10.16,226.4,"B","MORTGAGE",0.6904699,"Verified","Defaulted","small_business",20.01,8,0,15
5.39363653958502,14.9618162748709,"WA",5000," 36 months",12.73,167.84,"C","MORTGAGE",0.6799119,"Verified","Defaulted","Others",15.76,8,0,24
-6.40927133830235,-24.3822690293173,"MN",4200," 60 months",15.2,100.36,"D","RENT",0.682408,"Source Verified","Defaulted","Others",4.62,6,0,8
7.45504884440834,-29.4957304842613,"CA",8400," 36 months",21.99,320.76,"E","RENT",0.6480826,"Source Verified","Defaulted","debt_consolidation",34.64,14,0,15
-37.9133763789737,4.10572950804879,"NC",21725," 60 months",16.29,531.67,"C","MORTGAGE",0.6707003,"Verified","Defaulted","debt_consolidation",29.4,14,0,47
-30.9050306923267,-23.7712663638748,"TX",25000," 60 months",10.99,543.44,"B","MORTGAGE",0.707307,"Source Verified","Defaulted","debt_consolidation",29.33,19,0,32
21.2201109289369,-3.15765977605042,"WA",6450," 36 months",9.91,207.86,"B","RENT",0.6500909,"Not Verified","Defaulted","Others",17.62,10,0,14
-5.9603571244886,-31.6748801722029,"CA",18000," 60 months",15.22,430.31,"C","RENT",0.6720027,"Source Verified","Defaulted","debt_consolidation",22.7,7,0,23
10.1086896074458,-6.05900211991797,"IL",9600," 36 months",11.14,314.93,"B","MORTGAGE",0.7051691,"Source Verified","Defaulted","credit_card",11.6,14,0,52
-7.07363275894759,-31.9600811107916,"WI",18900," 60 months",15.61,455.71,"D","RENT",0.6758116,"Source Verified","Defaulted","debt_consolidation",17.59,11,0,14
-1.64363257238711,20.8275001252189,"FL",15000," 36 months",13.67,510.27,"B","OWN",0.666841,"Verified","Defaulted","credit_card",21.01,11,0,47
-23.4940555330791,18.0468313504806,"CA",17625," 60 months",23.76,504.59,"F","RENT",0.6629523,"Verified","Defaulted","debt_consolidation",23.79,10,0,16
-20.2147361957664,16.5167088832415,"FL",10000," 60 months",16.99,248.48,"D","RENT",0.6792599,"Verified","Defaulted","debt_consolidation",18.46,9,0,12
-26.9806233783202,2.45029904562686,"TN",15250," 60 months",22.45,425.1,"E","MORTGAGE",0.6677529,"Verified","Defaulted","Others",7.36,9,0,13
21.4116322842999,-19.2343360686358,"VA",10500," 36 months",10.99,343.71,"B","RENT",0.6879801,"Source Verified","Defaulted","credit_card",27.17,12,0,28
-29.5255330809353,-22.3332682732982,"PA",21000," 60 months",16.24,513.37,"C","MORTGAGE",0.6811816,"Source Verified","Defaulted","debt_consolidation",23.62,21,1,42
-24.4873942172335,16.9478642085922,"OH",7750," 60 months",23.63,221.3,"F","RENT",0.666841,"Verified","Defaulted","debt_consolidation",7.04,8,0,22
-22.235111471502,17.5574779545929,"TN",16600," 60 months",21.6,454.71,"E","RENT",0.6639631,"Verified","Defaulted","debt_consolidation",27.51,8,0,19
-0.484456835214391,-11.243814114115,"PA",15000," 36 months",13.35,507.95,"C","MORTGAGE",0.6853581,"Source Verified","Defaulted","debt_consolidation",6.99,9,0,21
-4.86605902594946,30.7765351300169,"CA",20000," 36 months",17.39,716.95,"E","RENT",0.6805523,"Verified","Defaulted","small_business",13.51,12,0,35
-24.3358674246604,-5.05900167259468,"FL",26375," 60 months",13.11,601.6,"B","MORTGAGE",0.6792599,"Verified","Defaulted","credit_card",12.76,6,0,23
38.7572393011376,5.1031228384319,"FL",6150," 36 months",13.67,209.21,"B","RENT",0.6432493,"Not Verified","Defaulted","debt_consolidation",19.85,8,0,16
